file,n_reviews,n_positive,n_neutral,n_negative,positive_ratio,negative_ratio,avg_lexicon_score,dict_coverage
preprocessed_reviews_naver,496,169,227,100,0.3407258064516129,0.20161290322580644,0.3125,0.6068548387096774
preprocessed_reviews_megabox,491,159,274,58,0.32382892057026474,0.11812627291242363,0.4256619144602851,0.45824847250509165
preprocessed_reviews_kinolights,475,128,251,96,0.2694736842105263,0.20210526315789473,0.18736842105263157,0.5178947368421053
