date,rating,content,cleaned_review,day_of_week,tf_idf_mean_score,lexicon_score,lexicon_sentiment,matched_word_count
2026-02-04,5.0,박지훈 연기…미쳤구낭,박 지훈 연기 미치 ᆼ,Wednesday,0.139854089160253,0.0,중립,0
2026-02-04,5.0,박지훈의 단종이 너무너무너무 인상깊고 연기가 미쳤습니다 20대 배우중 제일 기대되는 배우그리고 유해진이 날아다닙니다 왕사남으로 큰상 많이 받으실듯,박지훈 단종 인상 깊 연기 미치 대 배우 중 제일 기대 배우 그리고 유해진 날아다니 왕사남 크 상 많이 받 듯,Wednesday,0.1891234516345489,1.0,긍정,1
2026-02-04,5.0,마지막에 오열해버렸습니다,마지막 오열 버리,Wednesday,0.0,0.0,중립,0
2026-02-04,5.0,단종은 하고 싶어서 하는 역할이 아니라 주어진 자가 할 수 있는 역할이라는데 그 주어진 자가 박지훈인게 확실하다. 향후 10년동안은 단종하면 박지훈을 떠올릴듯,단종 하 싶 하 역할 아니 주어지 자 하 있 역할 데 주어지 자 박지훈 확실 향후 년 동안 단종 박 지훈 떠올리 듯,Wednesday,0.1678074887356022,0.0,중립,0
2026-02-04,5.0,유해진 박지훈 두 사람 상줘라,유해진 박지훈 두 사람 상 주,Wednesday,0.1,0.0,중립,0
2026-02-04,5.0,이런 사극 오랜만인데 너무 좋았습니다 ㅠㅠ 박지훈 대배우될 거 같음,이런 사극 오랜만 좋 박지훈 대배우 되 같,Wednesday,0.0,0.0,중립,0
2026-02-04,5.0,오늘 이후로 김은희 남편이 아닌 <왕과 사는 남자>의 감독으로 불릴것! 결과를 우리 모두 다 알고 있기에 영화에서의 결말만큼이라도 성공하기를 바랬다 ㅠㅠ,오늘 이후 김은희 남편 아니 왕 사 남자 감독 불리 결과 우리 모두 다 알 있 영화 결말 성공 바래,Wednesday,0.1366570946497883,2.0,긍정,1
2026-02-07,5.0,"유해진 드디어 남우주연상에 오를듯,,,,마지막 클라이막스는 유해진이 아니면 살릴수없는 연기",유해진 드디어 남우 주연 상 오르 듯 마지막 클라이막스 유해진 아니 살리 없 연기,Saturday,0.1635443366325925,0.0,중립,0
2026-02-04,5.0,그냥.. 보세요.. 진짜 이런 감정을 느끼게 해준 영화가 얼마만인지... 감히 올해의 영화라 할 수 있다고 봅니다,그냥 보 이런 감정 느끼 하 주 영화 얼마 만 감히 올해 영화 하 있 보,Wednesday,0.1,0.0,중립,0
2026-02-04,5.0,진짜 미쳤다 웃다가 울다가 마지막엔 꺼이꺼이 울었음 천만 넘을거 같다,미치 웃 울 마지막 꺼이꺼이 울 천만 넘 같,Wednesday,0.1,0.0,중립,0
