site,행 개수,500개 이상 충족,rating 결측,date 결측,content 결측,총 결측치,결측치 없는 완전한 행
kinolights,475,미달,0,0,0,0,475
megabox,491,미달,0,0,0,0,491
naver,496,미달,0,0,0,0,496
