rating,date,content
3.0,2026-05-04,"차갑게 식어간 왕을 뜨거운 눈시울로 안장하는 각본, 눈치 없이 산통 깨는 연출.

역사적 사실에 상상력을 가미한 이야기 자체는 흥미로웠지만 다 된 밥에 코 빠뜨리는 연출이 참... 유해진의 차력쇼 덕에 살았다."
3.0,2026-05-04,이게 재밌냐?
3.5,2026-05-04,"단군은 정태우가 짱이라 생각했는데,,,"
5.0,2026-05-03,후반부내내 그냥 눈물밖에 안나옴
0.5,2026-05-03,"과하다 과해 상상력이...시골 촌장쌍놈이  아무리 유배왔다고 임금이었던 사람한테 저리대한다고? ㅋㅋ 어이가 없다...
무지한인간들은 저게 사실인줄 착각하고 받아들인다..ㅉㅉㅉ"
3.0,2026-05-03,무난하게 괜찮았지만 작품의 완성도와 흥행은 별개라는 생각이
5.0,2026-05-02,"제가 영화관에서 오열을 해본건 처음이엿어요,,, 팀왕사남 사랑합니다 ❤️"
4.0,2026-05-02,나는 안울줄 알았다
5.0,2026-05-02,ㅈㄴ 말이 필요없암 ㅋㅋㅋ 개재밋노
3.0,2026-05-02,"<왕과 사는남자>, 이 영화는 당분간, 아니 어쩌면 아주 오랜 시간 한국영화의 역사의 한페이지를 장식 할 것 같다. 영화적인 성취는 다양하고, 그 다양함 중에 가장 민감 한 것은 흥행이라는 타이틀 이기에 1600만이라는 말도 안되는 숫자는 감히 이 영화의 모든 단점들을 상쇄 시키고도 남을정도다.

많은 대중들은 이 영화를 선택했고, 이 영화의 대중성은 충분히 입증됐다. 개인적으로도 잘 만들어진 대중 영화라고 생각한다. 장항준 감독을 인간적으로는 정말 좋아하고 매력적인 인간상이라고 생각하지만 감독으로써의 뛰어난 영화적인 재능 같은 것이 느껴지진 않았다. 이 영화를 썩 재밌고 흥미롭게 봤지만 그 생각에는 큰 변함이 없다.

<왕과 사는 남자> 는 조선의 가장 비극적인 왕으로 알려진 단종에 대한 이야기다. 계유정난을 맞아 왕위가 찬탈 되어 유배되어진 단종, 이홍위가 유배지인 영월에서 벌어지는 이야기다.

그렇지만 이 영화는 조선왕조의 대한 영화들과는 다른 시점으로 진행된다. 단종의 역사에서 가장 민감하고 중요한 계유정난의 이야기 보다는 유배되어진 곳에서의 생활을 영화적인 상상들로 채워 넣는다. 덕분에 영화는 기존 조선 사극과는 완전하게 다른, 궁궐 장면 같은 것은 전혀 등장하지 않고 영월의 주변 인물들을 중심으로 진행된다. 당연하게도 그 주변인물들 속에 스며드는 어린 단종의 모습이 영화적인 포커스를 맞추고, 그 중앙에 엄흥도 라는 인물을 부각 시키면서 영화적인 상상들을 꿰어 넣는다.

결국 영화는 역사적인 결말을 알고 있는 상황에서 그 과정들에 대한 중요성을 인식하고 엄흥도와 단종, 두 캐릭터에 한껏 힘을 보탠다. 그래서 영화는 이 두 캐릭터의 역할이 중추적인 성공 요인으로 작용되고, 이 두 캐릭터를 연기하는 유해진과 박지훈의 모습이 영화적인 성취에 가장 중요한 역할이 됐다.

결과적으로 1600만명라는 사람들이 보게 된 것은 다양한 요인들이 있겠지만 이 두 역할을 소화해 낸 두 배우에게 1차적인 공을 돌려서 어색하지 않을 만큼 멋진 모습을 보여준다. 특히, 유해진 배우야 이미 충분히 보여줬고 자신의 역할에 딱 맞는 옷을 입어 완벽한 엄흥도의 모습을 보여주면서 영화의 핵심적인 역할을 하는 것은 어찌보면 당연하게 느껴질 정도지만, 신인이라고 할 수 있는 박지훈 배우가 보여주는 어린 단종의 모습은 이 영화에서 가장 강렬하게 다가오는 것을 부인 할 수 없다. 영화 개봉 된 후로 이어지는 박지훈 배우에 대한 노골적인 칭찬은 괜한 미디어의 떠벌림이 아니라, 충분히 그럴만한 기사였다고 느껴진다.

<왕과 사는 남자> 영화적인 완성도는 다소 아쉽지만, 그럼에도 두 배우의 열연과, 이 믿기지 않을 흥행은 이 모든 것들을 상쇄시킨다. 감히 이 영화에 대한 불호의 이야기를 선뜻 하기가 쉽지 않을정도로 말이다. 그만큼 대중성의 기준으로는 쉽고, 착하고, 감동적인 것들을 잘 버무렸고, 그런 모든 것들을 조율한 장항준 감독의 대중성에도 박수를 보낸다.

장항준 감독의 영화라면 전혀 궁금할 것 같지 않았는데 이 영화를 보고 난 후에는 다음 영화에 대한 기대감까지 생기는 걸 보니 결론적으로 결과, 아니 흥행은 상업영화에서 그만큼 중요하다는 걸 새삼 느낀다."
5.0,2026-05-02,덕분에 온가족이 한 영화를 같이보게된 고마운 영화.눈물샘 지점이 다르긴해도 간만에 몰입하고 재밌게본 수작!!
