rating,content,date
7,박지훈을 배우로 각인시켜준 영화,2026-05-09
10,잔잔하고 감동적이였어요!!,2026-05-09
9,배우들이 이야기를 잘 살림. 유해진과 유지태는 참 귀하다.,2026-05-09
10,이제야 쓰는 후기... 간만에 영화관에서 사람의 온기를 느낄 수 있었던 소중한 시간이었다. 꽉 찬 영화관에서 모두가 한 마음으로 웃고 울고 한 게 얼마만인지...,2026-05-09
10,"역시 믿고보는 유해진,유지태,박지훈!! 복권작전이 성공햤다면 어땠을까?? 재밌게 잘봤어요~",2026-05-09
10,감동과 재미가 있는 영화,2026-05-09
8,잔인한 흑역사가 배경임에도 사람간의 따스한 정을 보여준 영화. 단종 12-17세에 걸친 장면들에서박지훈의 굵고 낮은 성인남성 음성이 소년왕의 이미지와 동떨어져 몰입에 방해되었음.,2026-05-09
9,세조 묘역에 악플달러감,2026-05-09
10,권력과 사랑 사이에서 흔들리는 인물들의 감정선이 인상적이었던 영화입니다. 묵직한 분위기와 배우들의 섬세한 연기가 오래 기억에 남는 작품이었어요.,2026-05-08
6,너무 기대하지 않고 보면 무난하게 볼만함.,2026-05-08
10,기대이상 입니다 추천,2026-05-08
1,진짜 타이밍 좋게 개봉해서 천만갔네.웬만해선 영화보고 재미없다는말 안하는데 이건 심하네;;,2026-05-08
10,한번 더 보고싶을 정도로 재미있게 봤습니다,2026-05-08
6,내용은 심플한데 임펙트도 있고  근데 사람들이 파도타기 했는지  이게 1600만이나 될 영화인가싶네  제가 기대를 너무 한걸수도,2026-05-08
10,마지막에 울면서 나왔어요,2026-05-08
10,재밌고 슬프고 연기도 좋아요,2026-05-07
10,마지막이... 좀 아쉽네요... 실화이지만... 많이 아쉽고 슬풉니다,2026-05-07
10,어머니와 함께 웃으면서 울면서 잘 봤습니다,2026-05-07
8,조연들 활약이 좋네요,2026-05-07
10,역사고증 이외 관점으로 보면 감동적임,2026-05-07
10,넘재밋어여역시천만영화,2026-05-06
10,"엄흥도ㅠㅠㅠㅠ너무 슬프잖아요,, 단종도 뭔가 지키려고하는 것 같은 모습,,박지훈이 너무 잘생겼어요",2026-05-06
4,개그는 좋았어요...,2026-05-06
10,최근 유일하게 N차 관람이요👍,2026-05-06
10,재미있게 보았습니다.,2026-05-06
10,너무 잘 보고 나왔습니다.,2026-05-06
10,재관람입니다 더 재미나네요,2026-05-05
8,대중성 짙은 천만 영화. 배우들의 연기도 정말 좋았다.,2026-05-05
10,단종에 대한 애잔함 천만의 마음을 울린거 같아요. 뭉클하게 잘 봤습니다.,2026-05-05
10,배우들의 연기가 너무 좋았어요. 그리구 박지훈배우의 눈물연기가 넘 좋았어요,2026-05-05
8,한명회 이 나쁜자식,2026-05-05
10,배우들의 연기에 울고 웃으며 푹 빠졌었습니다. 아이들과 함께 정말 모처럼 즐거운 영화 한 편 늘 만났네요. 추천합니다! 별 다섯개!,2026-05-05
10,단종 사랑해 죽지마,2026-05-05
10,안타까운 역사 보기 괜찮은 영화,2026-05-05
8,소문난 잔치엔 먹을게 딱히 없긴하드라,2026-05-05
5,"우리나라 1, 2등은 명량과 영사님. 대 단 하 다!",2026-05-05
10,정말 기대 이상 재미있습니다,2026-05-05
10,진짜 너무 슬퍼었요ㅠ,2026-05-05
10,너무너무 감동입니다,2026-05-05
10,역사에 대해 한번더 관심을 가지게되는 계기가 되었네요 재밌었습니다,2026-05-05
8,아쉽지만 그래도 잘 만든영화,2026-05-05
10,배우들의 열연에 눈물을 흘리지 않을 수가 없네요,2026-05-05
6,그냥 그저 그랬음 기대이하,2026-05-05
10,재미있어요 재미있어요,2026-05-05
10,과거의 이야기를 흥미롭게 봄,2026-05-05
10,너무 슬프고 감명깊게봤습니다,2026-05-05
10,마지막에 마니 슬펏어요,2026-05-04
10,오랜만에 제대로 된 영화를 본 듯 하다,2026-05-04
10,유해진 배우님의 연기! 무척 인상적이었습니다^^   단종 연기도 멋졌고요,2026-05-04
