rating,date,content
5.0,2026-02-04 13:44,"재미도 있지만, 엄마랑 둘이 광광 울었네요..박지훈님 그 눈망울이 계속 머릿속에 맴돌아요"
5.0,2026-02-05 00:34,유지태 표독 눈매 리프팅 미쳤다
5.0,2026-02-08 13:20,"""너의 상대는 나다.”청령포 절벽에 울려 퍼지는 그 포효의 순간, 폐위된 상왕 노산군의 눈빛은 마치 호랑이처럼 변해 있었다. 오달수 배우의 대사에서처럼  단순한 분노의 외침이 아니라, 백성을 향한 연민과 책임에서 비롯된 왕의 마지막 자존처럼 느껴졌다. 그의 폐위는 과연 무능 때문이었을까, 아니면 백성을 긍휼히 여기는 마음이 허락되지 않았던 시대의 비극이었을까.처음 이 영화를 보게 된 이유는 솔직히 유해진 배우에 대한 기대 때문이었다. 하지만 영화가 흐를수록 시선은 자연스럽게 ‘왕이란 무엇인가’, ‘윗사람은 어떤 눈으로 사람을 바라봐야 하는가’라는 질문으로 옮겨갔다. 진지한 서사 속에서도 유해진 배우가 연기한 엄홍도의 틈새 같은 유머는 숨 쉴 공간을 만들어주었고, 그 덕분에 영화는 무겁기만 한 비극이 아니라 사람 냄새 나는 이야기로 다가왔다.특히 인상 깊었던 장면은 마을 사람들과 함께 밥을 나누는 겸상 식사와, 백성들이 몰래 바친 조공을 다시 광천골 주민들의 몫으로 돌려주는 모습이었다. 위에서 내려다보는 권력이 아니라, 같은 자리에 앉아 온기를 나누는 윗사람의 태도. 그 장면은 자연스럽게 나 자신을 돌아보게 했다. 어른으로서, 회사의 리더로서, 나는 과연 어떤 모습으로 사람들 앞에 서 있는가를 묻지 않을 수 없었다.20여 년 전, 중학생 시절에 한 번 다녀왔던 영월의 청령포. 그때는 그저 가족여행지 중 하나였던 그 장소를, 20년이 지난 지금에서야 비로소 음미하고 곱씹게 되었다. 같은 장소였지만, 시간과 경험이 쌓인 지금에서야 그 절벽과 바람, 고독의 무게가 가슴에 닿았다.이 영화는 단순한 사극이 아니었다. 앞으로 내가 어떤 방향으로 걸어가야 하는지, 윗사람으로서 어떤 태도를 품어야 하는지를 조용히 가리켜주는 나침반 같은 작품이었다. 그래서 이 영화는 오래 남는다. 장면보다 메시지로, 감동보다 질문으로."
5.0,2026-02-04 14:41,어렸을때부터 왕으로 자란 단종의 느낌이 자연스럽게 표현되어 진짜 단종이라면 저랬을것 같았어요그리고 박지훈배우의 얼굴이한몫을 합니다유해진배우님이 말씀하신 마지막 밤씬은정말최고였습니다연출적으로 아쉬운부분은 있지만저는 또보러갈겁니다
5.0,2026-02-04 10:56,오랜만에 극장에서 본 사극이었는데 역사 찢고 나온 배우들의 열연이 정말 최고! 휴지 꼭 잊지 말고 챙겨가길!
3.0,2026-02-15 23:05,"역대 사극 흥행작(왕의 남자, 광해 왕이 된 남자, 관상 등)에 비해 훨씬 떨어지지만 편하게 볼 가족영화로는 나쁘지 않음.엄청난 영화, 명작 소리 들을 그정돈 아닌데 개인적으로 평점들이 좀 오바하고 과한 경향이 있다고 생각이 듦."
2.5,2026-02-16 22:17,빈약한 서사 허술한 각본 엉성한 연출  감동적인 연기
0.5,2026-04-24 01:34,"이게 천만 영화라고?? 우리나라 사람들 수준이 이것밖에 안되나.. 엉성한 스토리 연계, 엉성한 연출, 편집포인트가 드러나는 이상한 화면전환, 비중낮은 인물의 쓸데없는 긴시간 노출, 억지웃음 포인트, 어설픈 호랑이 CG, 한명회를 알면 이미 스토리가 예상되어 긴장감이나 몰입감 전혀없음, 천민이 왕의 팔뚝을 잡는 장면이나 그걸 멱살을 잡았었니 팔을 잡았었니 하는 시대를 반영하지않는 어설픈 설정… 언제부터 재밌지하고 인내심을 가지고 봐야할 수준인데 이게 천만이라니… 기가 차고 코가 막힐 일 ㅋㅋ 관람평들 개웃김"
1.0,2026-04-30 23:34,이게 왜 천만이지???
5.0,2026-02-04 10:18,"호감 배우들의 연기파티에 실화의 묵직함까지, 항주니 감독님의 최고의 영화가 될듯.."
5.0,2026-02-04 17:19,극장에서 이렇게 사람들과 웃고 울고 한 게 갑자기 오랜만이라는 생각이 들어서 그것만으로 왠지 뭉클했다.. 같이 울고 막 같이 우니까 그 관에 있던 사람들이 다 착하고 좋은 이웃들처럼 느껴짐.. 영화를 한 공간에서 보면서 동시에 서로 같은 마음을 느낀다는 게. 울 때 웃을 때 다 드러나니까  그랬던 것 같다. 이상하게 오래 기억이 날 것 같은 순간을 선물해 준 영화. 극장에서 보길 잘했다.
5.0,2026-02-04 15:34,연기들을 얼마나 잘하던지.. 장항준 감독님 리바운드때 흥행 실패로 우셨다 하셨는데 이번엔 다른 의미로 우시겠어요 영화 감명 깊게 잘봤습니다 다음 작품 기다리겠습니다
3.0,2026-02-16 17:46,별점이 이렇게  다들 10점줄만큼 좋은영화인가요? 진심궁금합니다
5.0,2026-02-04 13:25,유해진 연기야 말할 것도 없는데 단종배우가 진짜.. 단종같음...감동적이고 재미있음!
5.0,2026-02-04 11:42,유해진 박지훈 배우의 연기합이 매우 좋았습니다. 재밌게 잘봤어요
5.0,2026-02-04 14:52,불쌍한 왕이라고만 생각했는데 영화를 보고나니 어쩐지 미안한 마음이 들었다. 박지훈의 재발견!
3.0,2026-02-12 11:24,"좋은 소재와 좋은 배우들의 연기력에 비해 낮은수준의 연출력이 아쉬움. 장이수와 참바다는 중복캐스팅, 과다한 애드립을 통제못하는 감독, 잦은 스토리의 끊김과 개연성 없는장면들.. 단종역은 별10개"
3.0,2026-02-19 11:10,"소신 발언할게요. 캐스팅 좋고 소재도 신선하며, 배우들 연기가 정말 좋았습니다만 이야기를 끌어가는 역량이 많이 부족합니다.. 아무리 모두가 다 아는 역사라지만 서사가 너무 얼렁뚱땅이었어요. 아쉬움이 남는 영화였습니다."
5.0,2026-02-04 10:29,"간만에 진짜 재밌게 본 사극 영화라 모두가 봐주면 좋겠는 영화,, 엄흥도랑 이홍위가 행복한 세계도 있겠죠ㅠㅜ?"
3.5,2026-02-05 09:48,가족과 보기 좋은 영화. 호랑이 cg가 너무 허접해서 아쉬움. 출연진들의 뛰어난 연기에 비해 연출이 너무 무난한게 아쉬움.
5.0,2026-02-04 19:45,박지훈 단종대왕 대상 줘라
3.0,2026-02-09 23:40,배우들의 연기는 최고지만 연출과 편집이 뭔가 싶다.
1.0,2026-04-30 23:02,역사적사실도 너무다르고 보면서 도통재미부분을 못느끼겠습니다.유치하기고하고 스토리가 개연성이너무 없다란생각만 했습니다.나중에다시보면 다를까싶지만 지금감상평은 대하드라마가 더 재밌는 수준입니다.
5.0,2026-02-04 14:09,"알고있는 역사이야기.그래서 더 사무친 내맘ㅠ연기들을 왜이리 잘하셔서 ㅠㅠ 진짜 눈동자에 뭘 바르신거예요? 끼신거예요?와... 태산역할분은 신인(?)이신거 같은데,그분도 연기 잘 하시더라구요."
0.5,2026-03-08 19:22,"천만 찍었다고 해서 되게 기대하고 보러 갔는데, 그냥 감초배우들 애드립으로 범벅된 신파극 느낌. 주인공들 감정선을 도저히 따라갈 수 없는 빠른 전개가 매우매우 아쉬움. 2-3시간 짜리 영화라 어쩔 수 없다고 하기엔 다른 천만 영화들은,, 단종은 유배오고 내내 우울해하고 단식하다가 뜬금없이 웃더니 마을 사람들하고 어울리기 시작하며, 딱히 서사가 없었던 것 같은데 엄흥도는 단종에게 충성을 다하며.. 이해 안가는 지점이 넘 많았음. 아 유지태 나올때 번개 치는 장면, 집결지에서 만났는데 유지태 나오니까 갑자기 비오는 장면은 진짜 .. 연출 개구리다 싶었음. 연출 구린 장면 되게 많았지만 그 중 최고봉은 호랑이 씬 ㅋㅋ 어설프기 짝이 없는 cg를 써가면서까지 단종의 위엄있는? 모습을 보여줄 수밖에 없었나 싶었음.. 마지막 장면에서 엄흥도가 자기가 해결하겠다며 씩씩거리고 나가는데 포졸들 아무도 안말리는것도 이상하고. 걍 처음부터 끝까지 엥?으엥?엥? 스러운 장면이 너무 많아서 몰입도 완전 떨어지고 하품만 남. 이 영화가 천만영화라니… 진짜 대국민 몰카당하는 기분이었음…. 우이씨 내돈"
0.5,2026-03-07 23:57,"세상이 구라치는 것 같음. 연출이 너무 구려서 내내 인상 쓰면서 봄. 개연성은 단종 밥이랑 같이 저기 어디 내다버렸고, 억지 눈물 짜내기에 급급함. 천둥번개, 호랑이, 비, 전투씬 그 어느 것 하나 퀄리티를 찾아볼 수 없음. (그리고 그 연출들이 이 영화에 꼭 필요하지 않은 부분들이라는 게 문제임. 호랑이, 비 전부 안 넣어도 될 부분들인데 왜 굳이..? 이 생각만 듦.)금성대군의 그 허술한 전투 하며, 마지막에 단종 죽을 때 유해진이 하는 행동들 하며 ㅋㅋㅋㅋ 갑자기 유해진 나오니까 옆에 관군들 다 비켜줌.. 어이가 없어서 인상 쓰다가 웃음이 나옴."
5.0,2026-02-04 13:37,"유해진 익살스럽게 연기 잘 하네요. 박지훈은 자기 얼굴에 맞는 배역을 정말 잘 고른 듯... 약한 영웅 때도 놀랐지만 연기력도 한층 물오는 느낌. 감초 역할 배우들도 다 유명한 분들이라 영화가 더 살았다고 생각.. 전반적으로 기승전결 짜임새가 좋고, 웃기다가 울리다가, 마지막에 진한 여운으로 끝나는 느낌 영화 보고 우는 사람 많을 것 같네요."
1.0,2026-04-05 09:38,그 있잖아 줄서서 먹는 맛집에 갔는데 도대체 왜 이걸 맛있다고 하는지 모르겠다 생각했던 기억. 그거 비슷함 한 300만쯤 봤다고 하면 이해 했을듯.
5.0,2026-02-06 08:04,박지훈이 내 맘속에 저장 하던 사람이라고!???놀랍다... 연기 ㄱ잘함
5.0,2026-02-04 14:06,결혼이후 처음 울 남편 눈물을 보았다!!!!영월 꼭 가봐야지.배우 캐스팅 완벽!
5.0,2026-02-04 11:20,와 진짜 ㅈㄴ재밋음.. ㅠㅠ
5.0,2026-02-06 18:53,단종은 당시 16-17세에 불과한 어린 청년이었다 아무리 적장손 적장자 왕족으로서 짐을 지고 자라왔을지라도 소년은 소년일뿐... 이 사실을 생각하며 영화를 본다면 특정 씬들은 단종을 연기한 배우에게 더 측은한 마음이 들게한다.. 자신의 인생을 선택할 수 없었던 안타까운 한 어린 소년이 잠깐이나마 웃을수 있었던 시간들이라고 생각하면 허구의 이야기일지라도 마음에 위안이 된다... 연출이니 CG의 퀄리티를 논할수 없는 마음아픈 영화였다..
5.0,2026-02-04 11:49,태종태세문단세의 단종... 국사책에서나 보던 이름이 이렇게 나를 미치게 할 줄 몰랐음 ... 단종 사랑해... 단종 행복해... 단종 미안해... ㅠㅠㅠ 오늘부터 한국사 공부하러간다
5.0,2026-02-04 13:55,와.... 배우들 연기뭐에요? 정말 오랜만에 볼만한 전통사극 한편 나온듯요
0.5,2026-04-20 21:28,이거 별 5개 준사람들은 알바냐? 아무리 역사 기반이라지만 스토리 개연성 1도 없고 억지웃음 포인트에 한명회는 무슨 동에번쩍 서에번쩍 헬기타고다녀도 저정도로는 못다닐듯 비추누르는 사람들 니들이 이런 수준의 영화를 빨아주니 우리나라 영화가 발전이 없이 오히려 퇴보하는거다.
5.0,2026-02-04 14:06,간만에 미쳤음 박지훈 잘생긴거알았는데 연기도 잘함 저런왕이면 난 무조건 응원함 유해진은 진짜 저런 백성있었을거같음 설날에 꼭 봐야겟는데 ㅋㅋ간만에 영화같은 영화 본거같늠
3.0,2026-02-17 21:46,전반적인 연출이 좀 촌스럽긴함
5.0,2026-02-07 19:58,단종께서 박지훈배우로 환생해서 살아가고 있는거라고 믿고싶을 정도
5.0,2026-02-04 10:16,배우 연기가 정말 대단했습니다!여운이 남네요연휴때 가족들과 한번 더 보려고 합니다
5.0,2026-02-04 18:32,호랑이 cg는 너무티나서 긴장감은 없었음.. 감독이 노린거임?박지훈은 나오는 모든장면이 그냥 아름다웠음
3.0,2026-02-10 19:17,배우들 연기가 구린 연출을 구제함
5.0,2026-02-06 20:29,유해진이 작두타고 유지태가 호령하고 박지훈의 눈빛으로 완성되는 거장 등극 직전 감독 장항준의 역작.
2.0,2026-02-15 22:40,소재 10. 연기 8.  연출 1. 호랑이 CG  0 (수사대상).
4.5,2026-02-09 21:21,"아쉬운 연출을 채워주는 박지훈의 눈빛, 유해진의 김치찌개. 홍위의 텅 빈 눈이 백성들의 사랑과 지지 속에 범의 눈이 되는 걸 지켜보면서, 이변없이 집권했다면 이런 성군이 되었겠구나, 비극으로 얼룩진 그의 삶에 색채가 덧입혀지는 느낌이다. 수염도 안 난 어린 것이 왔다며 한탄하던 흥도가 점점 홍위를 제 임금으로 모시게 되고, 아들처럼 품게 되고, 끝에는 나까지 흥도로 만든다. 저 어린 것이..."
5.0,2026-02-09 01:58,"아.. 전생에 단종 측근이었나.. 후반부에 질질 오열함. 진짜 감동 미침(positive) . 뭐 연출 어쩌구 하는데 나는 딱 좋앗음. 너무 관계성을 딥하게 끌지도 않고 적당하게 잘 한듯?? cg도 솔직히 그게 머 다 거기서 거기지 뭘 너무 가짜같네 마네;; 진짜 호랭이를 데리고 오지않는 이상,,, 암튼 난 완전 대만족!! 캐스팅이 정말 기가 막힘 개굿."
0.5,2026-04-10 10:23,"연기는 좋았음. 하지만 억지 감동 쥐어짜기, 어설픈 연출, 과도한 애드립으로 보다가 너무 재미없고 지루함. 100만까지 갈 영화도 아님. 국뽕, 몰아주기, 물타기, 경쟁할 영화가 없는 타이밍빨 영향이 매우 큼.광해, 관상, 왕의 남자 등 다른 사극 영화들이 100배 훨씬 나음."
3.0,2026-02-04 15:40,항준이형 드디어 해냈구나
1.0,2026-03-06 11:18,천만천만  부추기니까  궁금해서 보게되서 천만이 된거같음 너무 허접함
5.0,2026-02-07 03:00,연기차력쇼라는 말 오글거리는 것 같아서 안 좋아했는데 이 영화는 그 말 백 번은 해야 직성이 풀릴 것 같다 정말 놀랐던건 박지훈이 그 대배우들한테 밀리기 않는걸 넘어 팽팽한 텐션을 이어간다는것임
0.5,2026-04-06 16:41,운 좋게 뜬 영화. 절대 100만 이상 갈 레벨은 아님
0.5,2026-04-17 11:58,"주위의 천만,천만에 속았음..수준이 정말 극도로 낮은 연출력과 시나리오에서 유해진의 불사지르는 연기력으로 조금 커버된 영화..진심 돈아까움.."
5.0,2026-02-04 10:25,웃다가 엉엉 울어버렸네요. 오랜만에 이렇게 재미있고 의미있는 한영본듯. 설날에 가족들과 다시 볼래요
